0	0	140	0	0	0	70	0	0	0	0	0	0	276	0	0	0	0	0	198	0	115	250	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	298	0	0	
0	0	0	0	0	159	0	0	261	0	0	0	0	0	0	152	0	169	0	0	0	0	269	10	126	0	222	0	82	0	117	126	0	0	0	0	0	0	0	0	0	0	0	0	0	
140	0	0	0	0	0	3	0	0	0	0	0	44	0	0	38	0	0	52	0	51	137	0	0	0	0	0	159	83	0	147	0	0	44	0	0	188	0	0	255	0	0	0	0	0	
0	0	0	0	0	0	274	0	0	0	0	0	195	0	95	0	0	0	42	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	
0	0	0	0	0	0	0	0	0	0	0	132	0	0	160	0	59	163	125	0	0	0	0	0	0	0	0	0	0	236	0	89	0	0	0	198	0	235	122	68	0	0	0	55	0	
0	159	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	111	0	244	0	0	0	0	25	0	0	
70	0	3	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	16	0	71	0	0	0	0	0	124	0	0	0	0	0	0	199	0	0	126	0	
0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	
0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	203	167	0	0	0	0	
0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	90	0	0	0	0	0	183	0	0	0	0	0	0	0	68	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	135	0	0	0	189	0	0	0	
0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	59	0	61	0	0	0	0	0	0	0	0	0	0	181	104	216	0	105	0	0	0	0	268	0	0	0	0	0	0	
0	0	44	195	0	0	0	26	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
